,Name,Description,Calories,Fat,Protein,Carbs,Fiber,Sodium
0,candy,"Candies, CARAMELLO Candy Bar",1930.0,21.2,6.19,63.8,1.2,122
1,egg tart,"Cherry juice, tart",248,0.54,0.31,13.7,,4.0
2,french fries,"APPLEBEE'S, french fries",1210.0,13.2,3.31,39.5,3.9,618
3,chocolate,"Candies, milk chocolate",2240.0,29.7,7.65,59.4,3.4,79.0
4,biscuit,"KFC, biscuit",1500.0,17.0,7.5,43.6,2.0,1070.0
5,popcorn,"Snacks, popcorn, air-popped",1620.0,4.54,12.9,77.8,14.5,8.0
6,pudding,"Corn pudding, home prepared",548,5.04,4.42,17.0,1.2,282
7,ice cream,Ice cream sandwich,990,8.57,4.29,37.1,0.0,129
8,cheese butter,"Crackers, cheese, sandwich-type with peanut butter filling",496,25.1,12.4,56.7,3.4,829
9,cake,"Cake, snack cakes, creme-filled, sponge",1560.0,11.5,3.47,64.0,1.0,470
10,wine,"Alcoholic beverage, wine, table, red",85.0,0.0,0.07,2.61,0.0,4.0
11,coffee,"SILK Coffee, soymilk",259,1.44,2.06,10.3,0.0,41.0
12,juice,"Orange peel, raw",97.0,0.2,1.5,25.0,10.6,3.0
13,milk,"Crackers, milk",446,13.8,7.6,71.7,3.4,687
14,tea,"Beverages, tea, hibiscus, brewed",0.0,0.0,0.0,0.0,0.0,4.0
15,almond,"Nuts, almonds",579,49.9,21.2,21.6,12.5,1.0
16,red beans,"Beans, kidney, red, mature seeds, raw",1410.0,1.06,22.5,61.3,15.2,12.0
17,cashew,"Nuts, cashew nuts, raw",553,43.8,18.2,30.2,3.3,12.0
18,dried cranberries,"Cranberries, dried, sweetened (Includes foods for USDA's Food Distribution Program)",1290.0,1.09,0.17,82.8,5.3,5.0
19,soy,Soy sauce made from soy (tamari),251,0.1,10.5,5.57,0.8,5590.0
20,walnut,"Oil, walnut",3700.0,100,0.0,0.0,0.0,0.0
21,peanut,"Peanuts, all types, raw",567,49.2,25.8,16.1,8.5,18.0
22,egg,"Egg, whole, raw, fresh",599,9.51,12.6,0.72,0.0,142
23,apple,"Apples, raw, without skin",48.0,0.13,0.27,12.8,1.3,0.0
24,date,"Dates, medjool",277,0.15,1.81,75.0,6.7,1.0
25,apricot,"Apricots, raw",201,0.39,1.4,11.1,2.0,1.0
26,avocado,"Oil, avocado",884,100,0.0,0.0,0.0,0.0
27,banana,"Bananas, raw",89.0,0.33,1.09,22.8,2.6,1.0
28,strawberry,"Strawberries, raw",136,0.3,0.67,7.68,2.0,1.0
29,cherry,"Cherries, sweet, raw",63.0,0.2,1.06,16.0,2.1,0.0
30,blueberry,"Blueberries, raw",57.0,0.33,0.74,14.5,2.4,1.0
31,raspberry,"Raspberries, raw",52.0,0.65,1.2,11.9,6.5,1.0
32,mango,"Mangos, raw",250,0.38,0.82,15.0,1.6,1.0
33,olives,"Olives, ripe, canned (jumbo-super colossal)",81.0,6.87,0.97,5.61,2.5,735
34,peach,"Peaches, yellow, raw",165,0.25,0.91,9.54,1.5,0.0
35,lemon,"Lemon juice from concentrate, bottled, REAL LEMON",73.0,0.07,0.47,5.66,0.7,26.0
36,pear,"Pears, raw",239,0.14,0.36,15.2,3.1,1.0
37,fig,"Figs, raw",310,0.3,0.75,19.2,2.9,1.0
38,pineapple,"Toppings, pineapple",253,0.1,0.1,66.4,0.4,42.0
39,grape,"Grape leaves, canned",287,1.97,4.27,11.7,9.9,2850.0
40,kiwi,"Kiwifruit, green, raw",255,0.52,1.14,14.7,3.0,3.0
41,melon,"Melons, cantaloupe, raw",141,0.19,0.84,8.16,0.9,16.0
42,orange,"Oranges, raw, all commercial varieties",197,0.12,0.94,11.8,2.4,0.0
43,watermelon,"Watermelon, raw",127,0.15,0.61,7.55,0.4,1.0
44,steak,"DENNY'S, top sirloin steak",762,7.34,28.9,0.14,,349
45,pork,"Pork, pickled pork hocks",171,10.5,19.1,0.0,0.0,1050.0
46,chicken duck,"Duck, domesticated, liver, raw",136,4.64,18.7,3.53,0.0,140
47,sausage,"Sausage, smoked link sausage, pork",309,28.2,12.0,0.94,0.0,827
48,fried meat,"Pork, fresh, ground, cooked",297,20.8,25.7,0.0,0.0,73.0
49,lamb,"Lamb, New Zealand, imported, ground lamb, raw",807,12.4,20.3,0.0,0.0,57.0
50,sauce,"Sauce, cheese sauce mix, dry",438,18.3,7.68,60.5,1.0,3200.0
51,crab,"Crustaceans, crab, blue, crab cakes, home recipe",155,7.52,20.2,0.48,0.0,330
52,fish,"Fish, fish sticks, frozen, prepared",1160.0,16.2,11.0,21.7,1.5,402
53,shellfish,"Crustaceans, crab, alaska king, cooked, moist heat",97.0,1.54,19.4,0.0,0.0,1070.0
54,shrimp,"Crustaceans, shrimp, cooked",99.0,0.28,24.0,0.2,,111
55,soup,"Soup, HEALTHY CHOICE Chicken and Rice Soup, canned",37.0,0.55,2.53,5.71,0.8,181
56,bread,"Bread, cheese",408,20.8,10.4,44.8,2.1,750
57,corn,"Corn grain, white",365,4.74,9.42,74.3,,35.0
58,hamburg,"McDONALD'S, Hamburger",1100.0,10.1,12.9,30.3,1.3,494
59,pizza,"PIZZA HUT 12"" Cheese Pizza, Pan Crust",1170.0,12.6,11.7,29.9,1.7,624
60,wonton dumplings,"Soup, wonton, Chinese restaurant",32.0,0.26,2.08,5.25,0.2,406
61,pasta,"Pasta, dry, enriched",371,1.51,13.0,74.7,3.2,6.0
62,noodles,"Rice noodles, cooked",454,0.2,1.79,24.0,1.0,19.0
63,rice,Rice crackers,416,5.0,10.0,82.6,0.0,233
64,pie,"Pie, peach",224,10.0,1.9,32.9,0.8,217
65,tofu,Tofu yogurt,394,1.8,3.5,16.0,0.2,35.0
66,eggplant,"Eggplant, pickled",205,0.7,0.9,9.77,2.5,1670.0
67,potato,"Bread, potato",266,3.13,12.5,47.1,6.3,375
68,garlic,"Garlic, raw",623,0.5,6.36,33.1,2.1,17.0
69,cauliflower,"Cauliflower, raw",25.0,0.28,1.92,4.97,2.0,30.0
70,tomato,Tomato powder,302,0.44,12.9,74.7,16.5,134
71,kelp,"Seaweed, kelp, raw",43.0,0.56,1.68,9.57,1.3,233
72,seaweed,"Seaweed, agar, dried",306,0.3,6.21,80.9,7.7,102
73,spring onion,"Onions, spring or scallions (includes tops and bulb), raw",32.0,0.19,1.83,7.34,2.6,16.0
74,ginger,"Ginger root, raw",80.0,0.75,1.82,17.8,2.0,13.0
75,okra,"Okra, raw",33.0,0.19,1.93,7.45,3.2,7.0
76,lettuce,"Lettuce, cos or romaine, raw",72.0,0.3,1.23,3.29,2.1,8.0
77,pumpkin,"Pumpkin, raw",26.0,0.1,1.0,6.5,0.5,1.0
